Table A.1 Database,,,,,,,,,,,,,Database used in the following article: Can Past Failures Help Identify Vulnerable Bridges to Extreme Events? A Biomimetical Machine Learning Approach (DOI: 10.1007/s00366-019-00874-2)
Bridge,Year of incident,City/Country,Location,System,Material,Span (m),Age,Lanes*,Type,,,,
Atterbury Bridge,1972,"Johannesburg, South Africa",Sub-urban,I-girder,Reinforced concrete,33,30,10,Fire,,,,
I-65 Franklin,3/17/2007,"Franklin, Tennessee, USA",Sub-urban,I-girder,Reinforced concrete,32,30,2,Fire,,,,
Overpass Cypress/Spring,3/29/2010,"Spring, TX, USA",Sub-urban,I-girder,Reinforced concrete,23,14,10,Fire,,,,
Bayway ramp,1963,"Mobile, Alabama, USA",Sub-urban,I-girder,Reinforced concrete,11,30,1,Fire,,,,
Chang-Geng,2017,China,Sub-urban,I-girder,Reinforced concrete,4.8,41,2,Earthquake,,,,
Coronado Bridge,2018,"San Diego, California, USA",Sub-urban,I-girder,Composite,200,46,4,Fire,,,,
Gilmore Bridge,1999,"Cambridge, MA ,USA",Sub-urban,I-girder,Composite,42,38,4,Fire,,,,
North Little Rock,1945,"North Little, AK, USA",Sub-urban,I-girder,Composite,40,50,3,Fire,,,,
I-91 North Meriden,4/6/2008,"Meriden, Connecticut. USA",Sub-urban,I-girder,Composite,40,45,2,Fire,,,,
Hagerstown,1980,"Hagerstown, Maryland, USA",Sub-urban,I-girder,Composite,32,55,2,Fire,,,,
Robbinsville,2015,"Robbinsville, NJ, USA",Sub-urban,I-girder,Composite,25.5,30,2,Fire,,,,
Davison Township,5/17/1950,"Davison Township, MI, USA",Sub-urban,I-girder,Composite,18,1,4,Fire,,,,
Mao-Luo-Shi,7/1/2004,China,Sub-urban,I-girder,Composite,55,0,2,Earthquake,,,,
General W.K. Wilson Jr. Bridge,1893,"Baldwin County, Alabama, USA",Sub-urban,I-girder,Steel,64,24,4,Fire,,,,
Zolotoy Bridge,1906,"Vladivostok, Russia",Urban,Cable-stayed,Steel,737,0,6,Fire,,,,
Zakim Bridge,1884,"Boston, MA, USA",Urban,Cable-stayed,Steel,227,11,10,Fire,,,,
Throgs Neck Bridge,1952,"New York, NY, USA",Urban,Suspension,Steel,550,48,6,Fire,,,,
Brooklyn Bridge ,2004,"New York, NY, USA",Urban,Suspension,Steel,486,143,6,Fire,,,,
Brooklyn Bridge,1949,"New York, NY, USA",Urban,Suspension,Steel,486,145,6,Fire,,,,
Brooklyn Bridge Jul. 13,2005,"New York, NY, USA",Urban,Suspension,Steel,486,146,6,Fire,,,,
Manhattan Bridge,1972,"New York, NY, USA",Urban,Suspension,Steel,451,100,11,Fire,,,,
Benjamin Franklin Bridge,2018,"New York, NY, USA",Urban,Suspension,Steel,271.9,72,7,Fire,,,,
Akashi Kaikyo Bridge,1936,Japan,Urban,Suspension,Steel,1900,7,4,Earthquake,,,,
Stone Arch Bridge,2010,USA,Urban,Truss/Arch,Reinforced concrete,197,81,2,Storm/Scour,,,,
Queensboro Bridge ,1953,"New York, NY, USA",Urban,Truss/Arch,Steel,360,104,4,Fire,,,,
Queensboro Bridge ,1912,"New York, NY, USA",Urban,Truss/Arch,Steel,360,104,4,Fire,,,,
Queensboro Bridge ,2013,"New York, NY, USA",Urban,Truss/Arch,Steel,360,104,4,Fire,,,,
Queensboro Bridge ,1926,"New York, NY, USA",Urban,Truss/Arch,Steel,360,104,4,Fire,,,,
Queensboro Bridge ,2017,"New York, NY, USA",Urban,Truss/Arch,Steel,300,96,4,Fire,,,,
Alexandra Bridge,1993,Canada,Urban,Truss/Arch,Steel,172,46,4,Fire,,,,
Harlem River Bridge,1930,"New York, NY, USA",Urban,Truss/Arch,Steel,124,110,2,Fire,,,,
Tappan Zee Bridge,1949,"New York, NY, USA",Urban,Truss/Arch,Steel,68,52,7,Fire,,,,
Münchenstein Bridge,1974,Switzerland,Urban,Truss/Arch,Steel,42,6,1,Storm/Scour,,,,
Bay Bridge,2018,"San Francisco, CA, USA",Urban,Box-girder,Prestressed concrete,704,82,10,Fire,,,,
Puente del Arenal,4/12/2002,"Cordoba, Spain",Urban,Box-girder,Composite,110,20,4,Fire,,,,
Puente de Ventas,4/29/2005,"Madrid, Spain",Urban,Box-girder,Composite,45,12,8,Fire,,,,
Puente de Ventas,4/2/2002,"Madrid, Spain",Urban,Box-girder,Composite,45,14,8,Fire,,,,
East London,7/7/2013,"London, UK",Urban,Box-girder,Steel,16,82,2,Fire,,,,
Shuong-Tung,11/8/2008,China,Urban,I-girder,Prestressed concrete,25,37,2,Earthquake,,,,
M4 Sudáfrica,1875,"Kwazulu-Natal, South Africa",Urban,I-girder,Reinforced concrete,20,30,2,Fire,,,,
Puente Santa Rosa,Aug-03,"Lima, Peru",Urban,I-girder,Composite,60,30,6,Fire,,,,
Ballard bridge,5/23/2006,"Seattle, WA, USA",Urban,I-girder,Composite,33,93,4,Fire,,,,
Lime Kiln Overpass,6/18/2008,"Louisville, KY, USA",Urban,I-girder,Composite,30,37,2,Fire,,,,
Commerce,8/21/2009,"Commerce, CA, USA",Urban,I-girder,Composite,27,49,10,Fire,,,,
Ethanol Baltimore,1/2/1998,"Baltimore, MD, USA",Urban,I-girder,Composite,26,26,2,Fire,,,,
Eastex Freeway with North Loop,5/19/2013,"Houston, TX, USA",Urban,I-girder,Composite,26,75,2,Fire,,,,
Grand Rapids,2003,"Grand Rapids, MI, USA",Urban,I-girder,Composite,23,30,8,Fire,,,,
Brucknen Expressway,1963,"New York, NY, USA",Urban,I-girder,Composite,21,32,5,Fire,,,,
Brooklyn-Queens Expressway 08,1957,"New York, NY, USA",Urban,I-girder,Composite,13,46,4,Fire,,,,
Tobin Bridge,2011,USA,Urban,I-girder,Composite,25,23,2,Collision/Impact,,,,
,,,,,,,,,,,,,
"Inputs in italics were assumed as they were not verified through multiple references. 
          In some instances, actual names of bridges were not identified and hence the incident were named according to the nearest known town/area.
          *Total number of lanes carried by a bridge.",,,,,,,,,,,,,
